Name,Date,Location,Type,Region,Latitude,Longitude
Circa:Humans 2.0,2/15/2024 through 2/17/2024|Meany Center for the Performing Arts,2/15/2024 through 2/17/2024,Theatre,University District,,
Gage Alumni Show,Now through 1/28/2024|Fountainhead Gallery,Now through 1/28/2024,Visual Arts & Galleries,Queen Anne / Seattle Center,,
Wreckno,2/23/2024|The Showbox,2/23/2024,Music,Downtown,47.8460175,19.09874316108224
Not Available,with Palmer Anthony,share,Not Available,Not Available,8.8226416,4.974957
Not Available,Top Results,,Not Available,Not Available,,
Culture is Living,Ongoing|Burke Museum,Ongoing,Museums,University District,15.6719272,121.0857257
The Human Family,2/29/2024|LANGSTON Seattle,2/29/2024,Music,Capitol Hill / Central District,47.7808113,19.1292973
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Art Walk Edmonds | Every Third Thursday,Ongoing|Cascadia Art Museum,Ongoing,Visual Arts & Galleries,North,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Not Available,Top Results,,Not Available,Not Available,,
Joe “Mr. D”  Dombrowski,2/10/2024|The Moore Theatre,2/10/2024,Theatre,Downtown,46.98492935,6.852323071619049
"Car, The Garden",1/29/2024|The Crocodile,1/29/2024,Music,Downtown,12.7735862,101.0683973
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024|MoPOP Museum of Pop Culture,Now through 8/31/2024,Museums,Queen Anne / Seattle Center,,
Not Available,With HAARPER and  Germ,share,Not Available,Not Available,8.8226416,4.974957
Meet the Animals,Ongoing|Woodland Park Zoo,Ongoing,Museums,Wallingford / Greenlake,15.6719272,121.0857257
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024|Benaroya Hall,6/6/2024 through 6/9/2024,Music,Downtown,,
FRAKTURED: Home of the Broken Beat,1/31/2024|High Dive,1/31/2024,Music,Fremont / Ballard,48.933246,15.72334
Amazing Life,Ongoing|Burke Museum,Ongoing,Museums,University District,15.6719272,121.0857257
Metropolis,1/25/2024 through 1/27/2024|Benaroya Hall,1/25/2024 through 1/27/2024,Music,Downtown,,
Mother,5/17/2024|415 Westlake,5/17/2024,Music,Queen Anne / Seattle Center,,
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024|Henry Art Gallery,5/24/2024 through 6/30/2024,Museums,University District,,
Maritime Seattle,Ongoing|Museum of History & Industry,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Harold and the Purple Crayon,3/23/2024 through 3/30/2024|Marion Oliver McCaw Hall,3/23/2024 through 3/30/2024,Dance,Queen Anne / Seattle Center,,
Seattle Kraken vs. Minnesota Wild,2/24/2024|Climate Pledge Arena,2/24/2024,Sports,Queen Anne / Seattle Center,47.5819462,19.0548965
Kenzan Tsutakawa-Chinn: Gather,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Global Rhythms: Yungchen Lhamo,1/26/2024|Town Hall Seattle,1/26/2024,Music,Downtown,46.3911976,16.579662
"Wu Han, Philip Setzer & David Finckel",2/20/2024|Meany Center for the Performing Arts,2/20/2024,Music,University District,47.5825628,19.0550478
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024|National Nordic Museum,Now through 1/28/2024,Museums,Fremont / Ballard,,
Not Available,Top Results,,Not Available,Not Available,,
Beetlejuice,4/2/2024 through 4/7/2024|The Paramount Theatre,4/2/2024 through 4/7/2024,Theatre,Downtown,,
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024|Benaroya Hall,2/25/2024 through 2/27/2024,Readings & Lectures,Downtown,,
Eric Bellinger,2/8/2024|The Showbox,2/8/2024,Music,Downtown,47.846262949999996,19.099619263592235
Deities and Demons: Supernatural in Japanese Art,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
Pioneer Square First Thursday Art Walk,Ongoing|Pioneer Square,Ongoing,Visual Arts & Galleries,Pioneer Square,15.6719272,121.0857257
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024|Town Hall Seattle,2/7/2024,Readings & Lectures,Downtown,,
Nobody Lives Here,Now through 3/17/2024|Wing Luke Museum,Now through 3/17/2024,Museums,International District,,
Baird’s beaked whale,Ongoing|Burke Museum,Ongoing,Museums,University District,15.6719272,121.0857257
Criminal,2/5/2024|The Moore Theatre,2/5/2024,Theatre,Downtown,46.84897075,6.715939496542806
Seattle Boat Show,2/2/2024 through 2/10/2024|Lumen Field,2/2/2024 through 2/10/2024,Festivals & Special Events,Pioneer Square,,
The Budos Band,1/27/2024|The Showbox,1/27/2024,Music,Downtown,-25.9579506,32.5619704
Shelf Nunny,1/26/2024|Barboza,1/26/2024,Music,Capitol Hill / Central District,46.3911976,16.579662
Meet our Marine Mammals,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown,15.6719272,121.0857257
EventSubmission,1. Submit easily via email,[email protected],Not Available,Not Available,,
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024|Magnuson Park,4/13/2024 through 4/14/2024,Festivals & Special Events,University District,,
Northwest Native Art,Ongoing|Burke Museum,Ongoing,Museums,University District,15.6719272,121.0857257
Emerald City Comic Con,2/29/2024 through 3/3/2024|Seattle Convention Center,2/29/2024 through 3/3/2024,Festivals & Special Events,Downtown,,
Mahogany – smARTfilms: Black Luxury,2/20/2024|Bainbridge Island Museum of Art,2/20/2024,Film & Media Arts,West,47.5825628,19.0550478
Olivia Rodrigo,8/6/2024 through 8/7/2024|Climate Pledge Arena,8/6/2024 through 8/7/2024,Music,Queen Anne / Seattle Center,,
Explore The Market,Ongoing|Pike Place Market,Ongoing,Festivals & Special Events,Downtown,15.6719272,121.0857257
Underwater Dome,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown,15.6719272,121.0857257
Seattle Kraken vs. Nashville Predators,3/16/2024|Climate Pledge Arena,3/16/2024,Sports,Queen Anne / Seattle Center,,
Jazz is Dead: Blue Note 85,2/1/2024|The Neptune Theatre,2/1/2024,Music,University District,47.037631950000005,28.899229096666765
Reverberations: Contemporary Art and Modern Classics,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
Not Available,with DMSR,share,Not Available,Not Available,8.8226416,4.974957
Lukas Nelson,2/20/2024|The Showbox,2/20/2024,Music,Downtown,47.5825628,19.0550478
Not Available,Top Results,,Not Available,Not Available,,
Dungeons and Drag Queens,1/26/2024|The Crocodile,1/26/2024,Theatre,Downtown,46.3911976,16.579662
Brazilian Carnaval 2024,2/10/2024|The Crocodile,2/10/2024,Music,Downtown,46.98492935,6.852323071619049
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing|Tacoma Art Museum,Ongoing,Museums,South,15.6719272,121.0857257
LeMay – America’s Car Museum,Ongoing|LeMay - America's Car Museum,Ongoing,Museums,South,15.6719272,121.0857257
BabyTron,2/1/2024|The Showbox,2/1/2024,Music,Downtown,,
Memoir,2/2/2024|Benaroya Hall,2/2/2024,Music,Downtown,15.1918243,120.583768
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024|Town Hall Seattle,2/8/2024,Readings & Lectures,Downtown,47.846262949999996,19.099619263592235
DRUM TAO 30th Anniversary,4/22/2024|Benaroya Hall,4/22/2024,Music,Downtown,,
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024|Wing Luke Museum,Now through 7/28/2024,Museums,International District,,
Colorworks,1/25/2024|Nectar Lounge,1/25/2024,Music,Fremont / Ballard,49.3840843,18.6000893
Jahari Stampley,1/30/2024 through 1/31/2024|Dimitriou's Jazz Alley,1/30/2024 through 1/31/2024,Music,Downtown,,
Scared to Death: The Thrill of Horror Film,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Emanuel Brown,1/25/2024|Chop Suey,1/25/2024,Music,Capitol Hill / Central District,49.3840843,18.6000893
Dan Brown Wild Symphony,2/24/2024|Benaroya Hall,2/24/2024,Music,Downtown,47.5819462,19.0548965
Born With Teeth,2/1/2024 through 2/25/2024|ArtsWest Playhouse and Gallery,2/1/2024 through 2/25/2024,Theatre,West Seattle,,
Not Available,with Mike Dillon & Punkadelick,share,Not Available,Not Available,8.8226416,4.974957
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024|Wing Luke Museum,Now through 5/12/2024,Museums,International District,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Rootabaga Country,3/8/2024 through 3/17/2024|Opera Center,3/8/2024 through 3/17/2024,Music,Queen Anne / Seattle Center,,
Native Portraiture: Power and Perception,Now through 3/17/2024|Tacoma Art Museum,Now through 3/17/2024,Museums,South,,
Compania Nacional de Danza,1/25/2024 through 1/27/2024|Meany Center for the Performing Arts,1/25/2024 through 1/27/2024,Dance,University District,,
The Human Family,1/27/2024|Opera Center,1/27/2024,Music,Queen Anne / Seattle Center,-25.9579506,32.5619704
"Once More, Just For You",2/5/2024 through 2/25/2024|Seattle Public Theater,2/5/2024 through 2/25/2024,Theatre,Wallingford / Greenlake,,
Not Available,Top Results,,Not Available,Not Available,,
Soja,2/6/2024|The Neptune Theatre,2/6/2024,Music,University District,,
Window on Washington Waters,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown,15.6719272,121.0857257
Lip Sync for Our Rights,6/22/2024 through 6/23/2024|Marion Oliver McCaw Hall,6/22/2024 through 6/23/2024,Music,Queen Anne / Seattle Center,,
West Seattle Farmers Market – Sundays,Ongoing|West Seattle Farmers Market,Ongoing,Festivals & Special Events,West Seattle,15.6719272,121.0857257
Eliades Ochoa,2/13/2024|The Moore Theatre,2/13/2024,Music,Downtown,47.846739,19.0992909
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024|Seattle Art Museum,Now through 4/14/2024,Museums,Downtown,,
