Name,Date,Location,Type,Region
Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Black History Month Keynote with Dr. Doretha Williams,2/15/2024,Northwest African American Museum,Museums,Capitol Hill / Central District
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District
My Dinner with SAM: Aaron Verzosa,2/15/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Olympia Music History Project,2/15/2024,Washington State History Museum,Museums,South
Radiolab,2/15/2024,Town Hall Seattle,Theatre,Downtown
Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown
The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown
Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard
Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown
Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle
Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard
Circa:Humans 2.0,Now through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District
Big Business,2/17/2024,Tractor Tavern,Music,Fremont / Ballard
Carl Christensen and The Lake Flora Band,2/17/2024,Barboza,Music,Capitol Hill / Central District
David Wax Museum,2/17/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown
lespecial,2/17/2024,High Dive,Music,Fremont / Ballard
Saturday Family Concert: Lady A,2/17/2024,Town Hall Seattle,Music,Downtown
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South
Victor Andy Castillo,2/17/2024,The Royal Room,Music,South Seattle
A Case for the Existence of God,Now through 2/18/2024,ACT Theatre,Theatre,Downtown
Northwest Flower & Garden Festival,Now through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown
The Princess Bride in Concert with the Seattle Symphony,Now through 2/18/2024,Benaroya Hall,Music,Downtown
Mindi Abair Wine and Jazz Tour 2024,Now through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown
Seattle RV Show,Now through 2/18/2024,Lumen Field,Festivals & Special Events,Pioneer Square
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard
Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown
La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown
Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard
Skyler Floe Sextet,2/18/2024,The Royal Room,Music,South Seattle
Steamboat – Nokosee Fields Trio,2/18/2024,The Royal Room,Music,South Seattle
Community is a Radical Act of Love,2/19/2024,Town Hall Seattle,Readings & Lectures,Downtown
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard
Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown
Trask,2/20/2024,High Dive,Music,Fremont / Ballard
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown
A I M by Kyle Abraham,2/21/2024,The Moore Theatre,Dance,Downtown
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown
Bailen,2/22/2024,The Crocodile,Music,Downtown
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown
Jack Parker,2/22/2024,The Royal Room,Music,South Seattle
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard
Northwest Blues Stars,2/22/2024,The Triple Door,Music,Downtown
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown
Lisa Koch Big Ass Birthday Bash,2/23/2024,The Triple Door,Music,Downtown
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle
Wreckno,2/23/2024,The Showbox,Music,Downtown
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District
The Lower Depths,Now through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown
Bassekou Kouyate and Vieux Farka Toure,2/24/2024,Town Hall Seattle,Music,Downtown
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown
Dana Gould and Bobcat Goldthwait,2/24/2024,The Triple Door,Theatre,Downtown
Knoll,2/24/2024,Funhouse,Music,Capitol Hill / Central District
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District
The Highsteppers Classic Soul Revue,2/24/2024,The Royal Room,Music,South Seattle
Tides of Times: A Conversation on Maritime Asia in Art and Trade,2/24/2024,Seattle Art Museum,Museums,Downtown
Born With Teeth,Now through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle
SAM Gallery Presents: Enter the Forest,Now through 2/25/2024,SAM Gallery,Visual Arts & Galleries,Downtown
"Once More, Just For You",Now through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake
Seattle Home & Garden Show,2/22/2024 through 2/25/2024,Lumen Field,Festivals & Special Events,Pioneer Square
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle
Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown
Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District
Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown
Kelsy Karter and The Heroines,2/27/2024,Funhouse,Music,Capitol Hill / Central District
Ron Pope,2/27/2024,The Triple Door,Music,Downtown
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown
He Films The Clouds,2/28/2024,Funhouse,Music,Capitol Hill / Central District
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
Tommy Castro and The Painkillers,2/28/2024,The Triple Door,Music,Downtown
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
Seattle Museum Month,Now through 2/29/2024,Downtown Seattle,Museums,Downtown
Corey Harris and Cedric Watson,2/29/2024,The Triple Door,Music,Downtown
JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle
Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown
MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard
Quilts,2/29/2024,Sunset Tavern,Music,Fremont / Ballard
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District
