Location,Day,Temperature,ShortForecast
Meany Center for the Performing Arts,No data,No data,No data
Tractor Tavern,This Afternoon,52,Mostly Cloudy
Tractor Tavern,Sunday,49,Light Rain Likely
Tractor Tavern,Washington's Birthday,51,Chance Light Rain
Tractor Tavern,Tuesday,52,Chance Light Rain
Tractor Tavern,Wednesday,53,Chance Light Rain
Tractor Tavern,Thursday,54,Mostly Sunny
Tractor Tavern,Friday,53,Partly Sunny
Barboza,This Afternoon,50,Mostly Cloudy
Barboza,Sunday,48,Light Rain Likely
Barboza,Washington's Birthday,49,Chance Light Rain
Barboza,Tuesday,51,Chance Light Rain
Barboza,Wednesday,52,Chance Light Rain
Barboza,Thursday,53,Mostly Sunny
Barboza,Friday,53,Partly Sunny
Fremont Abbey Arts Center,This Afternoon,51,Mostly Cloudy
Fremont Abbey Arts Center,Sunday,48,Light Rain Likely
Fremont Abbey Arts Center,Washington's Birthday,50,Chance Light Rain
Fremont Abbey Arts Center,Tuesday,52,Chance Light Rain
Fremont Abbey Arts Center,Wednesday,52,Chance Light Rain
Fremont Abbey Arts Center,Thursday,53,Mostly Sunny
Fremont Abbey Arts Center,Friday,53,Partly Sunny
The Paramount Theatre,No data,No data,No data
High Dive,This Afternoon,51,Mostly Cloudy
High Dive,Sunday,48,Light Rain Likely
High Dive,Washington's Birthday,50,Chance Light Rain
High Dive,Tuesday,51,Chance Light Rain
High Dive,Wednesday,52,Chance Light Rain
High Dive,Thursday,53,Mostly Sunny
High Dive,Friday,52,Partly Sunny
Town Hall Seattle,This Afternoon,50,Mostly Cloudy
Town Hall Seattle,Sunday,48,Light Rain Likely
Town Hall Seattle,Washington's Birthday,49,Chance Light Rain
Town Hall Seattle,Tuesday,51,Chance Light Rain
Town Hall Seattle,Wednesday,52,Chance Light Rain
Town Hall Seattle,Thursday,53,Mostly Sunny
Town Hall Seattle,Friday,53,Partly Sunny
accesso ShoWare Center,No data,No data,No data
ACT Theatre,This Afternoon,50,Mostly Cloudy
ACT Theatre,Sunday,48,Light Rain Likely
ACT Theatre,Washington's Birthday,49,Chance Light Rain
ACT Theatre,Tuesday,51,Chance Light Rain
ACT Theatre,Wednesday,52,Chance Light Rain
ACT Theatre,Thursday,53,Mostly Sunny
ACT Theatre,Friday,53,Partly Sunny
Seattle Convention Center,This Afternoon,50,Mostly Cloudy
Seattle Convention Center,Sunday,48,Light Rain Likely
Seattle Convention Center,Washington's Birthday,49,Chance Light Rain
Seattle Convention Center,Tuesday,51,Chance Light Rain
Seattle Convention Center,Wednesday,52,Chance Light Rain
Seattle Convention Center,Thursday,53,Mostly Sunny
Seattle Convention Center,Friday,53,Partly Sunny
Benaroya Hall,This Afternoon,51,Mostly Cloudy
Benaroya Hall,Sunday,48,Light Rain Likely
Benaroya Hall,Washington's Birthday,50,Chance Light Rain
Benaroya Hall,Tuesday,52,Chance Light Rain
Benaroya Hall,Wednesday,52,Chance Light Rain
Benaroya Hall,Thursday,53,Mostly Sunny
Benaroya Hall,Friday,53,Partly Sunny
Dimitriou's Jazz Alley,This Afternoon,51,Mostly Cloudy
Dimitriou's Jazz Alley,Sunday,48,Light Rain Likely
Dimitriou's Jazz Alley,Washington's Birthday,50,Chance Light Rain
Dimitriou's Jazz Alley,Tuesday,52,Chance Light Rain
Dimitriou's Jazz Alley,Wednesday,52,Chance Light Rain
Dimitriou's Jazz Alley,Thursday,53,Mostly Sunny
Dimitriou's Jazz Alley,Friday,53,Partly Sunny
Lumen Field,This Afternoon,51,Mostly Cloudy
Lumen Field,Sunday,48,Light Rain Likely
Lumen Field,Washington's Birthday,50,Chance Light Rain
Lumen Field,Tuesday,52,Chance Light Rain
Lumen Field,Wednesday,52,Chance Light Rain
Lumen Field,Thursday,53,Mostly Sunny
Lumen Field,Friday,53,Partly Sunny
Climate Pledge Arena,This Afternoon,51,Mostly Cloudy
Climate Pledge Arena,Sunday,48,Light Rain Likely
Climate Pledge Arena,Washington's Birthday,49,Chance Light Rain
Climate Pledge Arena,Tuesday,51,Chance Light Rain
Climate Pledge Arena,Wednesday,52,Chance Light Rain
Climate Pledge Arena,Thursday,53,Mostly Sunny
Climate Pledge Arena,Friday,52,Partly Sunny
High Dive,This Afternoon,51,Mostly Cloudy
High Dive,Sunday,48,Light Rain Likely
High Dive,Washington's Birthday,50,Chance Light Rain
High Dive,Tuesday,51,Chance Light Rain
High Dive,Wednesday,52,Chance Light Rain
High Dive,Thursday,53,Mostly Sunny
High Dive,Friday,52,Partly Sunny
Town Hall Seattle,This Afternoon,50,Mostly Cloudy
Town Hall Seattle,Sunday,48,Light Rain Likely
Town Hall Seattle,Washington's Birthday,49,Chance Light Rain
Town Hall Seattle,Tuesday,51,Chance Light Rain
Town Hall Seattle,Wednesday,52,Chance Light Rain
Town Hall Seattle,Thursday,53,Mostly Sunny
Town Hall Seattle,Friday,53,Partly Sunny
Town Hall Seattle,This Afternoon,50,Mostly Cloudy
Town Hall Seattle,Sunday,48,Light Rain Likely
Town Hall Seattle,Washington's Birthday,49,Chance Light Rain
Town Hall Seattle,Tuesday,51,Chance Light Rain
Town Hall Seattle,Wednesday,52,Chance Light Rain
Town Hall Seattle,Thursday,53,Mostly Sunny
Town Hall Seattle,Friday,53,Partly Sunny
Benaroya Hall,This Afternoon,51,Mostly Cloudy
